City;Customer_Flag;Revenue_Scale;Revenue;Sector;Legal_Form_Code;Employee_Scale;TYPE_ID_Coverage_GSM;TYPE_ID_Coverage_UMTS;TYPE_ID_Coverage_LTE;CNT_EMPLOYEE;CNT_CB_DENSITY;CNT_CB_MOB_DENSITY;CNT_CB_FN_DENSITY;Mobile_potential
Reutlingen;0;2.500.001 - 5.000.000;4383983;31;21;20 - 49;291;290;290;41;;;;2097.72467452908
Bodenheim;0;500.001 - 2.500.000;600000;40;14;20 - 49;291;291;291;20;206;199;11;1910.6679542016002
Seesen;0;500.001 - 2.500.000;700000;40;4;10 - 19;291;290;291;10;9;9;0;1818.0003769054802
Raisting;0;5.000.001 - 25.000.000;23000000;42;14;10 - 19;291;290;291;13;;;;1600.7944219090791
Blomberg;0;5.000.001 - 25.000.000;15244304;35;14;20 - 49;291;292;292;41;26;25;3;1860.39660829908
Stuttgart;0;500.001 - 2.500.000;1200000;63;4;10 - 19;291;291;291;17;797;775;56;1962.9621674567998
Langenfeld;0;;;62;14;20 - 49;291;291;291;26;480;474;21;2066.9516927674795
Berlin;0;5.000.001 - 25.000.000;7000000;76;14;20 - 49;291;291;291;30;490;474;38;2109.601387741079
Masserberg;0;;;74;4;20 - 49;291;292;291;20;11;11;1;1886.2865221114798
München;0;5.000.001 - 25.000.000;8500000;62;16;20 - 49;291;291;291;42;1645;1594;122;1935.3849914495993
München;0;500.001 - 2.500.000;2500000;73;14;10 - 19;291;291;291;13;1709;1658;122;1625.4913727687992
München;0;5.000.001 - 25.000.000;14000000;42;20;20 - 49;291;291;291;24;879;856;64;2002.1258191907996
Halle;0;5.000.001 - 25.000.000;6000000;41;14;20 - 49;291;291;291;23;212;209;9;1999.0153484842795
Breidenbach;0;;;59;14;10 - 19;291;292;292;10;26;26;0;1527.93527507988
Berlin;0;2.500.001 - 5.000.000;2900000;40;14;20 - 49;291;291;291;33;1319;1270;138;2980.0157607287993
Schwieberdingen;0;500.001 - 2.500.000;1000000;44;4;10 - 19;291;290;291;11;420;415;19;1815.5777098594801
Breisach;0;;;40;14;10 - 19;292;292;292;10;24;22;2;2076.39244690668
Kipfenberg;0;500.001 - 2.500.000;600000;15;14;10 - 19;292;292;290;13;6;6;0;1276.72916870748
Augsburg;0;500.001 - 2.500.000;1850000;55;14;20 - 49;291;290;291;20;394;391;17;1980.9197408314799
Herrsching;0;5.000.001 - 25.000.000;10000000;27;14;20 - 49;291;290;291;40;;;;2060.5612970410793
Ratingen;0;5.000.001 - 25.000.000;17819757;27;14;20 - 49;291;291;291;28;656;649;41;1888.0939134826795
Augsburg;0;500.001 - 2.500.000;600000;48;14;10 - 19;291;290;291;11;;;;1222.5290897410798
Neuss;0;500.001 - 2.500.000;1500000;47;14;20 - 49;291;291;291;21;362;357;18;2367.7024288366797
Münster;0;2.500.001 - 5.000.000;2800000;25;20;20 - 49;291;290;291;20;121;120;6;1993.02018965868
Esslingen;0;bis 100.000;100000;25;14;10 - 19;291;291;291;10;;;;1193.5617397882797
Bindlach;0;500.001 - 2.500.000;1700000;24;24;20 - 49;291;290;291;20;87;86;6;1916.46319096668
Markkleeberg;0;500.001 - 2.500.000;1876382;40;14;20 - 49;291;290;291;40;542;539;15;3359.6038880086794
Mainz-Kostheim;0;500.001 - 2.500.000;2171137;40;14;10 - 19;291;290;291;18;419;407;24;2542.3860462455996
Hamburg;0;25.000.001 - 50.000.000;40000000;57;14;20 - 49;291;290;291;45;1743;1348;646;1634.2325788199992
Aalen;0;;;50;14;50 - 99;291;290;290;50;66;66;6;1972.7517524026803
Berlin;0;;;83;28;10 - 19;291;291;291;12;3100;2979;314;1497.3032883695994
Lahr;0;500.001 - 2.500.000;1704749;24;16;10 - 19;291;291;291;18;91;89;6;1896.4023574066805
Burgstetten;0;;;40;4;10 - 19;291;290;290;10;185;184;8;1916.6693191414797
